"名称","来源","处理建议","发现日期","原因","Exa 摘要","证据"
"Lingbe","Exa discovery · language_exchange_long_tail","已入主表","2026-04-29T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Lingbe is a Technology, Information and Internet company. Lingbe.com is a language practice platform that allows users to practice with native speakers anytime, anywhere. Users can practice with native speakers and earn rewards and special features. The platform allows users to connect with other learners and make new friends from around the world. Lingbe em","Lingbe: https://lingbe.com/"
"Lingopie","Exa discovery · language_exchange_long_tail","学习工具边界","2026-05-03T00:00:00.000Z","结果更偏内容学习或课程工具，真人社交/语伴证据弱；保留为边界样本，不直接升级。","Lingopie is a E-Learning Providers company. Lingopie is a company that provides language learning services for students. They offer a wide range of TV shows with subtitles, allowing users to learn and access various language skills. They also provide live group lessons and live group lessons to improve language skills. Lingopie aims to help students improve ","Lingopie: https://lingopie.com/"
"HelloTalk","Exa discovery · language_exchange_long_tail","已入主表","2026-04-30T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","HelloTalk, also abbreviated as HT, is a language exchange app and website released in 2013. It is monetized using the freemium model. It was created by Chinese developer Zackery Ngai. As of December 2025, the platform supports learning and communication in more than 260 languages, including English, Japanese, Spanish, French, Chinese, Korean, and German. The","HelloTalk: https://hellotalk.com/"
"Tandem","Exa discovery · language_exchange_long_tail","已入主表","2026-05-21T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Tandem is a E-Learning Providers company. Tandem is a language learning app that allows users to connect with native speakers and practice their target languages. Tandem employs 41 people (+3.9% YoY, +2 people), founded in 2015. Headquartered in Berlin, Berlin, Germany, operates in 15 countries (including Spain, Indonesia, United Kingdom, Canada, and France)","Tandem: https://tandem.net/"
"Conversation Exchange","Exa discovery · language_exchange_long_tail","已入主表","2026-04-23T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Conversation Exchange is a E-learning company. Conversation Exchange is a language learning platform that offers three types of language exchange: face to face conversation, correspondence, text and voice chat. Conversation Exchange employs 2 people, founded in 2005. Headquartered in San Antonio, Texas, United States, with presence in Italy and Brazil. [...]","Conversation Exchange: https://conversationexchange.com/"
"Talk4Now","Exa discovery · language_exchange_long_tail","已入主表","2026-05-03T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Talk4Now is a Language Schools company. Talk4Now employs 2 people, founded in 2026. Headquartered in Dhaka, Bangladesh, with presence in Pakistan. [...] That’s why we built Talk4Now — a global platform where you can practice any language by talking to real people from around the world 💬🌎 [...] You can create or join rooms labeled by language, meet learners","Talk4Now: https://talk4now.com/"
"SpeakyParrot","Exa discovery · language_exchange_long_tail","已入主表","2026-04-25T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","SpeakyParrot is a E-Learning Providers company. SpeakyParrot employs 2 people, founded in 2024. Headquartered in Petersburg, Florida, United States. [...] Learn languages flexibly, interactively, and effectively, anytime, anywhere. Our e-learning platform offers practical exercises, motivating challenges, and the option to book live sessions with native spea","SpeakyParrot: https://speakyparrot.com/"
"Linguado","Exa discovery · language_exchange_long_tail","已入主表","2026-04-30T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","Linguado is a E-Learning Providers company. Linguado is a free mobile app that allows users to instantly link with native speakers of the language they desire, by proximity or worldwide. They offer language learning, accent reduction, travel, cultural exchange, and business solutions. Linguado represents over 250 countries, nationalities, and languages, and ","Linguado: https://linguado.com/"
"FluentPal AB","Exa discovery · language_exchange_long_tail","候选补证","2026-04-27T00:00:00.000Z","Exa 长尾结果显示有真人语伴、连接或语言交换属性，但还需要官网/应用商店/社媒证据后再决定是否升级进主表。","FluentPal AB is a Education company. FluentPal is a language learning platform that allows users to talk to a language and be matched to a language partner. It offers instant matching experience and personalized language practice. The app matches users with compatible language partners based on their preferences, making language exchange effortless and effic","FluentPal AB: https://fluentpal.net/"
"MatchaLingua","Exa discovery · language_exchange_long_tail","已入主表","2026-04-16T00:00:00.000Z","该产品已经在 HelloTalk/Tandem 相邻主表里，保留在长尾复核中作为覆盖证明。","MatchaLingua is a Social Networking Platforms company. Founded in 2026. Headquartered in France. [...] Connect. Learn. Experience. Culture. A community for finding language exchange partners near you and embarking on a journey of cultural discovery together. Meet language partners in your area for in-person or virtual practice sessions. Go beyond language - ","MatchaLingua: https://matchalingua.com/"
"Conversifi","candidate deep-dive · language_exchange_companies","边界参照","","candidate deep-dive 已复核为边界或暂缓项，不进入主表候选升级队列。 / 定位清楚，偏大学语言与文化交换；更像垂直/B2B 场景，缺少开放消费社交增长信号，作为 HelloTalk/Tandem 边界参照保留。","Conversifi is a E-Learning Providers company. Conversifi employs 51 people (+16.4% YoY, +10 people), founded in 2017. Headquartered in Washington, District of Columbia, United States, operates in 13 countries (including Mexico, Colombia, France, Peru, and Benin). [...] Conversifi connects foreign language learners with native speakers for on-demand language practice and cross-cultural exchange over video chat. We bel","Conversifi: https://conversifi.com/"
"LingoPraxis","targeted Exa pass · lingopraxis","长尾留档","2023-07-26T10:34:51.000Z","targeted Exa company/news pass 证明其有官网、App Store / Google Play、Telegram bot 和 peer-to-peer speaking club 属性，但未找到融资、强增长、社媒声量或开放消费社交规模信号；作为 HelloTalk/Tandem 长尾覆盖保留，不升级主矩阵。","# LingoPraxis - English Speaking Club [...] LingoPraxis - English Speaking Club is an educational institution. LingoPraxis is a calendar of online English speaking meetings that allows individuals to practice English and other languages with language partners. They offer endless opportunities for individuals to enhance their speaking skills and practice with language partners. LingoPraxis - English Speaking Club employs 3 people (-20.0% YoY, -1 person), founded in 2022. Headquartered in Tbilisi, Georgia, with prese","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | LingoPraxis: Language Exchange 4+: https://apps.apple.com/ua/app/lingopraxis-language-exchange/id6446861184 | ‎LingoPraxis: Speaking Club App - App Store: https://apps.apple.com/us/app/lingopraxis-speaking-club/id6446861184"
