"去重键","来源","日期","日期精度","近两年窗口内","产品/公司","金额/事件","金额类型","明确美元融资M","原赛道","归一赛道","IRL/线下真人相关","来源类型","重复组大小","计入唯一事件","结论","证据"
"butterflies-2024.06","core timeline","2024.06","month","yes","Butterflies AI","$4.8M seed","explicit USD funding","4.8","AI social","AI social / entertainment","no","press release","1","yes","计入主时间线结论","https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html"
"partiful-2024.11","core timeline","2024.11","month","yes","Partiful","$20M Series A","explicit USD funding","20","IRL events boundary","IRL / offline human social","yes","funding database/news","1","yes","计入主时间线结论","https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections"
"dippy-2024.10","core timeline","2024.10","month","yes","Dippy AI","$2.1M pre-seed","explicit USD funding","2.1","AI companion","AI companion","no","funding database/news","1","yes","计入主时间线结论","https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html"
"daze-2024.10","core timeline","2024.10","month","yes","Daze","$5.7M","explicit USD funding","5.7","AI messaging","AI social / entertainment","no","media/news","1","yes","计入主时间线结论","https://techcrunch.com/2024/10/21/daze-a-creative-ai-powered-messaging-app-for-gen-z-is-blowing-up-prelaunch/"
"tolan-2025.02","core timeline","2025.02","month","yes","Tolan","$10M launch funding","explicit USD funding","10","AI companion","AI companion","no","media/news","1","yes","计入主时间线结论","https://www.geekwire.com/2025/these-colorful-ai-aliens-could-be-your-new-virtual-best-friend-as-startup-lands-10m-to-launch-tolan/"
"pie-2025.03","core timeline","2025.03","month","yes","Pie","$11.5M Series A","explicit USD funding","11.5","IRL social","IRL / offline human social","yes","media/news","1","yes","计入主时间线结论","https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/"
"meet5-2025","core timeline","2025","year","yes","Meet5","about $9M Series A","explicit USD funding","9","IRL social boundary","IRL / offline human social","yes","media/news","1","yes","计入主时间线结论","https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0"
"breeze","core timeline","2026.05","month","yes","Breeze","UK launch / anti-swipe IRL dating news","business/news metric","","IRL dating boundary","IRL / offline human social","yes","media/news","2","yes","计入主时间线结论","https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html"
"weroad-2026.05","core timeline","2026.05","month","yes","WeRoad","$58M Series C","explicit USD funding","58","IRL group travel boundary","IRL / offline human social","yes","company/blog","1","yes","计入主时间线结论","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us"
"series-2025.04","core timeline","2025.04","month","yes","Series","$3.1M pre-seed","explicit USD funding","3.1","AI social","AI social / entertainment","no","press release","1","yes","计入主时间线结论","https://www.globenewswire.com/news-release/2025/04/04/3056141/0/en/Yale-founders-raise-3-1M-in-14-days-to-build-Series-the-anti-Facebook.html"
"pallie-2025.04","core timeline","2025.04","month","yes","Pallie AI","$2M pre-seed","explicit USD funding","2","AI companion","AI companion","no","press release","1","yes","计入主时间线结论","https://www.prnewswire.com/news-releases/ai-companion-pallie-ai-raises-2-million-to-reduce-loneliness-and-improve-wellbeing-302441202.html"
"tolan-2025.07","core timeline","2025.07","month","yes","Tolan","$20M new funding","explicit USD funding","20","AI companion","AI companion","no","media/news","1","yes","计入主时间线结论","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"born pengu-2025.09","core timeline","2025.09","month","yes","Born / Pengu","$15M Series A","explicit USD funding","15","AI companion","AI companion","no","media/news","1","yes","计入主时间线结论","https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/"
"222-2025.12","core timeline","2025.12","month","yes","222","$10.1M Series A","explicit USD funding","10.1","IRL social","IRL / offline human social","yes","funding database/news","1","yes","计入主时间线结论","https://svpost.com/articles/222-10m-series-a/"
"timeleft-2026.03","core timeline","2026.03","month","yes","Timeleft","$7M Series A","explicit USD funding","7","IRL social","IRL / offline human social","yes","funding database/news","1","yes","计入主时间线结论","https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding"
"caveduck-2026.04","core timeline","2026.04","month","yes","Caveduck","$3.2M Series A","explicit USD funding","3.2","AI roleplay","AI character / roleplay","no","funding database/news","1","yes","计入主时间线结论","https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/"
"pictoria-2026.04","core timeline","2026.04","month","yes","Pictoria","¥330M","non-USD funding/revenue","","AI character","AI character / roleplay","no","media/news","1","yes","计入主时间线结论","https://thebridge.jp/en/2026/04/pictoria-an-ai-character-company-raises-%c2%a5330-million-in-funding"
"charms-2026.05","core timeline","2026.05","month","yes","Charms","$1.5M pre-seed","explicit USD funding","1.5","AI character","AI character / roleplay","no","press release","1","yes","计入主时间线结论","https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/"
"status-2026.05","core timeline","2026.05","month","yes","Status AI","$17M seed + Series A","explicit USD funding","17","AI entertainment","AI social / entertainment","no","media/news","1","yes","计入主时间线结论","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"roamchat-2026.05","core timeline","2026.05","month","yes","RoamChat","AI roaming social launch","business/news metric","","AI social / cross-cultural chat","AI social / entertainment","no","press release","1","yes","计入主时间线结论","https://www.prnewswire.com/news-releases/as-ai-is-redefining-how-strangers-connect-globally-roamchat-introduces-a-new-roaming-social-platform-302775994.html"
"hiwaifu-2026.04","core timeline","2026.04","month","yes","HiWaifu","未融资；约 2000 万元年营收","business/news metric","","China AI companion export","China AI companion export","no","media/news","1","yes","计入主时间线结论","https://www.baijing.cn/article/52888"
"polybuzz-2026.02","core timeline","2026.02","month","yes","PolyBuzz","约 4200 万月访问量","business/news metric","","China AI companion export","China AI companion export","no","media/news","1","yes","计入主时间线结论","https://news.qq.com/rain/a/20260204A05BK500"
"thursday-2024.08","core timeline","2024.08","month","yes","Thursday","San Francisco launch / offline dating events","business/news metric","","IRL dating boundary","IRL / offline human social","yes","media/news","1","yes","计入主时间线结论","https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"bumble-bee","core timeline","2026.03","month","yes","Bumble Bee","AI dating assistant launch","business/news metric","","AI dating feature","AI dating features","yes","media/news","2","yes","计入主时间线结论","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"tinder","core timeline","2026.05","month","yes","Tinder Live Events","live events + AI features + group dating","business/news metric","","IRL dating feature","IRL / offline human social","yes","media/news","2","yes","计入主时间线结论","https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
"friend-2024.07","supplemental discovery","2024.07","month","yes","Friend","$5.4M / $99 AI companion necklace","explicit USD funding","5.4","AI friend / wearable companion","AI companion","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/"
"friend-2024.12","supplemental discovery","2024.12","month","yes","Friend","$5.4M additional raise / real-world AI friend","explicit USD funding","5.4","AI friend / wearable companion","AI companion","yes","media/news","1","yes","计入唯一候选事件","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"limitless-2025.12","supplemental discovery","2025.12","month","yes","Limitless","Meta acquisition","M&A","","AI wearable memory assistant","Other","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/"
"oasiz-2025.10","supplemental discovery","2025.10","month","yes","Oasiz","$2.5M seed","explicit USD funding","2.5","AI-native social / playable content","AI social / entertainment","no","web source","1","yes","计入唯一候选事件","https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab"
"imessage social network-2026.04","supplemental discovery","2026.04","month","yes","AI iMessage social network","$5.1M pre-seed","explicit USD funding","5.1","AI-native social network","AI social / entertainment","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/"
"tinder","supplemental discovery","2026.03","month","yes","Tinder Live Events","IRL events / virtual speed dating","business/news metric","","IRL dating feature","IRL / offline human social","yes","web source","2","no","重复行，仅留作来源佐证","https://www.startupheist.com/the-anti-tinder-arbitrage/"
"bumble-bee","supplemental discovery","2026.03","month","yes","Bumble Bee","AI dating assistant","business/news metric","","AI dating feature","AI dating features","yes","web source","2","no","重复行，仅留作来源佐证","https://thenextweb.com/news/bumble-bee-ai-assistant-dating-swipe"
"breeze","supplemental discovery","2025.03","month","yes","Breeze","IRL dating US launch","business/news metric","","IRL dating boundary","IRL / offline human social","yes","press release","2","no","重复行，仅留作来源佐证","https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC"
"posh-2026.03","supplemental discovery","2026.03","month","yes","Posh","$37M Series B","explicit USD funding","37","IRL events / social planning","IRL / offline human social","yes","web source","1","yes","计入唯一候选事件","https://qoshe.com/fortune/lily-mae-lazarus/exclusive-posh-lands-37m-series-b-to-crack-the-what-are-we-doing-tonight-problem/188187957"
"ditto-2026.02","supplemental discovery","2026.02","month","yes","Ditto","$9.2M / real-date college dating","explicit USD funding","9.2","IRL dating / anti-swipe","IRL / offline human social","yes","media/news","1","yes","计入唯一候选事件","https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345"
"known-2026.05","supplemental discovery","2026.05","month","yes","Known","nearly $10M / AI voice dating app","explicit USD funding","10","AI dating / real dates","AI dating features","yes","web source","1","yes","计入唯一候选事件","https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"companion market-2025.08","supplemental discovery","2025.08","month","yes","AI companion apps market","$120M projected 2025 consumer spend","business/news metric","","AI companion market metric","AI companion","no","web source","1","yes","计入唯一候选事件","https://finance.yahoo.com/news/ai-companion-apps-track-pull-173842786.html"
"astrocade-2026.05","supplemental discovery","2026.05","month","yes","Astrocade","$56M new funding","explicit USD funding","56","AI social / interactive entertainment","AI social / entertainment","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
