"来源类别","信号名称","判断区域","关联主表产品","判断结论","业务影响","证据强度","目标视图","下一步动作","证据"
"research paper","AI companion 不是孤独问题的万能药","AI 伴侣与真人关系边界","","把 AI 作为互动入口可以成立，但不能把真实人类关系替代风险从产品判断里拿掉。","Exa research paper 返回 2026 论文 Not a Silver Bullet for Loneliness，强调 attachment 与年龄会塑造用户和 AI companion 的亲密关系。","中：研究/论文证据，可用于风险边界而非商业结论","#evidence | #playbook","进入 research/policy monitor；若出现新论文、诉讼或监管材料，更新风险边界和展示讲稿。","论文/研究证据: https://arxiv.org/pdf/2602.12476"
"research paper","真实人类关系仍是设计边界","AI 伴侣与真人关系边界","","把 AI 作为互动入口可以成立，但不能把真实人类关系替代风险从产品判断里拿掉。","Companion chatbot RCT 和 AI companion evaluation 结果提示：需要评估长期使用、anthropomorphism、emotional dependence 与 psychological harm。","中：研究/论文证据，可用于风险边界而非商业结论","#evidence | #playbook","进入 research/policy monitor；若出现新论文、诉讼或监管材料，更新风险边界和展示讲稿。","论文/研究证据: https://arxiv.org/pdf/2509.19515"
"research paper","青少年与角色平台值得重点看","安全/监管风险判断","","纯 AI 伴侣和角色平台的增长要和青少年、安全、身份误导与合规风险一起评估。","Exa 返回 Character.AI youth engagement 相关研究，适合和 Common Sense / 政策材料一起作为安全与监管底座。","弱：单来源背景证据","#evidence | #playbook","进入 research/policy monitor；若出现新论文、诉讼或监管材料，更新风险边界和展示讲稿。","论文/研究证据: https://arxiv.org/html/2604.15340"
"research paper","AI companion 安全与合规压力正在显性化","安全/监管风险判断","","纯 AI 伴侣和角色平台的增长要和青少年、安全、身份误导与合规风险一起评估。","Exa mature news 返回 Character.AI 相关诉讼、青少年安全、假冒医疗资质等新闻，说明增长判断不能脱离合规风险。","弱：单来源背景证据","#evidence | #playbook","进入 research/policy monitor；若出现新论文、诉讼或监管材料，更新风险边界和展示讲稿。","论文/研究证据: https://thenextweb.com/news/pennsylvania-character-ai-chatbot-doctor-lawsuit"
"financial report","PolyBuzz / 作业帮出海","AI 伴侣商业化与增长参照","","下载、访问量、ARR 或营收口径可校准增长质量，但需要区分流量、收入和融资热度。","约 4200 万月访问量；这是流量和本地化信号，不等同于收入；需要继续监控内购、订阅和区域付费能力。","中：有量化商业/规模口径","#evidence | #products | #playbook","优先补强下载、收入、内购、订阅或 MAU 的最新口径，并和融资新闻去重。","腾讯新闻: https://news.qq.com/rain/a/20260204A05BK500"
"financial report","HiWaifu","AI 伴侣商业化与增长参照","","下载、访问量、ARR 或营收口径可校准增长质量，但需要区分流量、收入和融资热度。","全球 AI 社交 App 内购收入前七；约 2000 万元年营收；适合关注低融资/高现金流模型，以及海外垂直市场内购转化。","中：有量化商业/规模口径","#evidence | #products | #playbook","优先补强下载、收入、内购、订阅或 MAU 的最新口径，并和融资新闻去重。","白鲸出海: https://www.baijing.cn/article/52888"
"financial report","Talkie / MiniMax","泛娱乐/IP 角色聊天机会","Talkie / MiniMax","AI 角色聊天正在进入内容平台和 IP 社区，不只是独立 companion app 的机会。","2024 上半年美国 AI app 下载前列；MiniMax 海外收入占比高；这是中国大模型公司用 consumer app 变现的关键路径，需和 IPO/财报口径持续交叉验证。","强：有量化商业/规模口径和多来源证据","#evidence | #products | #playbook","监控内容平台、IP 社区和角色聊天功能是否带来新增付费或互动数据。","SCMP: https://www.scmp.com/tech/tech-trends/article/3284511/chinese-ai-unicorn-minimax-scores-big-us-talkie-chatbot-entertainment-app | 北京商报: https://www.bbtnews.com.cn/2026/0111/581338.shtml"
"financial report","Tolan / Portola","AI 伴侣商业化与增长参照","Tolan / Portola","下载、访问量、ARR 或营收口径可校准增长质量，但需要区分流量、收入和融资热度。","3M downloads；ARR 从 USD 4M 到 USD 12M 报道口径；这是 AI companion 订阅商业化样本，但 ARR 来源质量需继续用官方/投资人材料复核。","强：有量化商业/规模口径和多来源证据","#evidence | #products | #playbook","优先补强下载、收入、内购、订阅或 MAU 的最新口径，并和融资新闻去重。","The Signal: https://readthesignal.co/p/ai-companion-tolan-4m-to-12m-arr | GeekWire: https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"financial report","Match / Bumble 财报边界","线下真人/付费社交商业参照","","上市 dating/location/social graph 公司给出订阅、匹配效率和现实关系网络的规模边界。","Bumble 2025 revenue USD 966M；Match/Hinge/Tinder 有 AI features 与增长恢复信号；它们不是本页 AI social 核心竞品，但可作为付费社交、匹配效率、订阅模型的参照。","强：有量化商业/规模口径和多来源证据","#evidence | #products | #playbook","继续补对应产品的付费转化、城市密度、线下履约和留存证据。","Bumble SEC: https://www.sec.gov/Archives/edgar/data/1830043/000183004326000018/bmbl-ex991prxq42025.htm | Match SEC: https://www.sec.gov/Archives/edgar/data/891103/000089110326000072/mtch8-k20260505ex991.htm"
"financial report","Life360 / IRL family graph","线下真人/付费社交商业参照","","上市 dating/location/social graph 公司给出订阅、匹配效率和现实关系网络的规模边界。","约 97.8M MAU；3.0M paying circles；不是陌生人社交，但能帮助判断 IRL 社交基础设施的付费和留存边界。","中：有量化商业/规模口径","#evidence | #products | #playbook","继续补对应产品的付费转化、城市密度、线下履约和留存证据。","Life360 SEC: https://www.sec.gov/Archives/edgar/data/1581760/000158176026000079/a991-life360incq126media.htm"
"financial report","WEBTOON Character Chat","泛娱乐/IP 角色聊天机会","","AI 角色聊天正在进入内容平台和 IP 社区，不只是独立 companion app 的机会。","SEC Q1 2026 shareholder letter / AI-enabled Character Chat；这是泛娱乐 IP + AI character chat 的上市公司信号，说明 AI 社交不只在独立 companion app，也会进入内容平台和 IP 社区。","中：有量化商业/规模口径","#evidence | #products | #playbook","监控内容平台、IP 社区和角色聊天功能是否带来新增付费或互动数据。","WEBTOON SEC: https://www.sec.gov/Archives/edgar/data/1997859/000199785926000070/a260509_2026q1xsharehold.htm"
"financial report","AI companion apps market","AI 伴侣商业化与增长参照","","下载、访问量、ARR 或营收口径可校准增长质量，但需要区分流量、收入和融资热度。","$120M projected 2025 consumer spend; 337 active revenue-generating AI companion apps；这是赛道商业化口径，不是单一产品融资；用于校准 companion/roleplay 产品的市场需求和付费能力，不能重复计入融资总额。","中：有量化商业/规模口径","#evidence | #products | #playbook","优先补强下载、收入、内购、订阅或 MAU 的最新口径，并和融资新闻去重。","AI companion apps on track to pull in $120M in 2025 | TechCrunch: https://techcrunch.com/2025/08/12/ai-companion-apps-on-track-to-pull-in-120m-in-2025/"
"financial report","Match Group / AI dating transition","线下真人/付费社交商业参照","","上市 dating/location/social graph 公司给出订阅、匹配效率和现实关系网络的规模边界。","SEC 8-K / direct revenue pressure and 2026 product roadmap；这是 dating 市场从 swipe/订阅模型转向 AI assistant、IRL events 和更高质量匹配的上市公司背景口径。","中：有量化商业/规模口径","#evidence | #products | #playbook","继续补对应产品的付费转化、城市密度、线下履约和留存证据。","MTCH 8-K 2026.02.03 EX99.2: https://www.sec.gov/Archives/edgar/data/891103/000089110326000020/mtch8-k20260203ex992.htm"
"financial report","AI companion apps market","AI 伴侣商业化与增长参照","","下载、访问量、ARR 或营收口径可校准增长质量，但需要区分流量、收入和融资热度。","$120M projected 2025 consumer spend; 337 active revenue-generating AI companion apps；这是赛道商业化口径，不是单一产品融资；用于校准 companion/roleplay 产品的市场需求和付费能力，不能重复计入融资总额。","中：有量化商业/规模口径","#evidence | #products | #playbook","优先补强下载、收入、内购、订阅或 MAU 的最新口径，并和融资新闻去重。","AI companion apps on track to pull in $120M in 2025: https://finance.yahoo.com/news/ai-companion-apps-track-pull-173842786.html"
