"名称","来源","处理结论","目标主线","升级路径","动作建议","优先级","状态","发布日期","原因","证据"
"OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables","2026-06-18 monitor · 线下真人社交","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","known","2026-06-18T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://www.pureeconomic.com/2026/06/18/opentobites-launches-app-that-enables-diners-to-find-company-by-sharing-tables/"
"Turnout Announces $35M Series A to Put an AI Advocate in Every American’s Corner","2026-06-19 monitor · 融资 / 商业化","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","high","known","2026-06-19T15:34:20.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://theaiinsider.tech/2026/06/19/turnout-announces-35m-series-a-to-put-an-ai-advocate-in-every-americans-corner/"
"Frontiers | The adaptive ecological trap: a grounded theory study of adolescent AI dependency","2026-06-18 monitor · 研究 / 政策风险","已覆盖/继续观察","研究/政策风险","补 research risk，不进产品主表","用于修正 AI companion 安全、青少年和依赖风险判断。","high","known","2026-06-18T01:32:34.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","研究 / 政策风险: https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2026.1839672/full"
"Tryll Engine Raises $600K Pre-Seed at $6M Valuation to Bring On-Device AI Characters and Conversations to Games – Unite.AI","2026-06-17 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-17T15:42:13.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://www.unite.ai/tryll-engine-raises-600k-pre-seed-at-6m-valuation-to-bring-on-device-ai-characters-and-conversations-to-games/"
"Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu","2026-06-17 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-17T13:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://tech.eu/2026/06/17/tryll-launches-ai-gaming-engine-alpha-and-secures-600k-pre-seed-funding/"
"China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17 monitor · 中国 AI 社交出海","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","high","known","2026-06-17T09:06:42.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/"
"MojiMoshi Embeds AI Agents Inside Telegram and Line, No App Needed - AINews","2026-06-20 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-06-20T02:32:06.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://ainews.cool/article/20260620-mojimoshi-ai-agent-telegram-line"
"OpenAI Launches ChatGPT Advertising Business in Japan Amid Rising AI Costs | AJU PRESS","2026-06-19 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-06-19T06:24:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://www.ajupress.com/view/20260619152470142"
"Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch","2026-06-18 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-18T12:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://techcrunch.com/2026/06/18/pixis-new-ios-app-turns-text-messages-into-interactive-ar-experiences/"
"一款“放弃美国市场”的AI社交App，月流水碾压C.ai-36氪","2026-06-18 monitor · 投放 / 付费获客证据","市场口径佐证","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-18T09:40:14.000Z","36氪月报提供全球原生 AI app 下载与中国大陆投放/下载变化口径，可用于校准 AI companion/export 市场热度；不是单一产品融资或新增社交 app，不进入主表。","投放 / 付费获客证据: https://m.36kr.com/p/3042007961911433"
"HelloTalk - Learn Languages – Apps on Google Play","2026-06-18 monitor · 语言交换 / 跨文化社交","边界观察","语言交换/跨文化社交","补语言交换长尾或主表功能差异","优先补增长信号、渠道和是否有线下面基/地图/语音房能力。","medium","new","2026-06-18T01:00:04.460Z","自动规则未命中强升级条件；按 补语言交换长尾或主表功能差异 留在 monitor 观察，不升级主表或融资时间线。","语言交换 / 跨文化社交: https://play.google.com/store/apps/details?hl=en_IN&id=com.hellotalk"
"Character.AI is adding new tools for chatbot creators. | The Verge","2026-06-17 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-17T16:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://www.theverge.com/ai-artificial-intelligence/951461/character-ai-is-adding-new-tools-for-chatbot-creators"
"Twice As Many Americans Are Now Using AI Companions Than Dating Apps: SensorTower Data","2026-06-17 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-17T10:25:34.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://officechai.com/ai/twice-as-many-americans-are-now-using-ai-companions-than-dating-apps-sensortower-data/"
"China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-17T09:06:42.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/"
"Happn Expands Its Presence in London With First Outdoor Advertising Campaign – Topgmnews","2026-06-17 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-17T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://www.topgmnews.com/2026/06/17/happn-expands-its-presence-in-london-with-first-outdoor-advertising-campaign/"
